대여소명,자치구,lat,long,LCD거치대수,text
영일 어린이공원,영등포구,37.51012,126.904068,10.0,영일 어린이공원 (영등포구)<br>거치대 수: 10.0
충북 미래관,영등포구,37.529171,126.907578,15.0,충북 미래관 (영등포구)<br>거치대 수: 15.0
목월공원 앞,용산구,37.532433,126.954742,15.0,목월공원 앞 (용산구)<br>거치대 수: 15.0
한강진역 2번 출구 앞,용산구,37.541153,127.002213,10.0,한강진역 2번 출구 앞 (용산구)<br>거치대 수: 10.0
한남초교 앞 보도육교,용산구,37.538139,127.004097,10.0,한남초교 앞 보도육교 (용산구)<br>거치대 수: 10.0
문배어린이공원 앞,용산구,37.536758,126.970001,9.0,문배어린이공원 앞 (용산구)<br>거치대 수: 9.0
전자랜드 본관 앞,용산구,37.533066,126.960732,20.0,전자랜드 본관 앞 (용산구)<br>거치대 수: 20.0
서울역 12번 출구 앞,용산구,37.552277,126.972687,10.0,서울역 12번 출구 앞 (용산구)<br>거치대 수: 10.0
서빙고동 금호맨션 앞,용산구,37.520504,126.989738,10.0,서빙고동 금호맨션 앞 (용산구)<br>거치대 수: 10.0
한남 유수지 복개주차장,용산구,37.530167,127.007439,10.0,한남 유수지 복개주차장 (용산구)<br>거치대 수: 10.0
이태원지하보도,용산구,37.53841,126.986649,10.0,이태원지하보도 (용산구)<br>거치대 수: 10.0
녹사평역1번출구,용산구,37.53508,126.985382,20.0,녹사평역1번출구 (용산구)<br>거치대 수: 20.0
용산전쟁기념관,용산구,37.53484,126.977661,20.0,용산전쟁기념관 (용산구)<br>거치대 수: 20.0
삼각지역 3번출구,용산구,37.533512,126.972275,20.0,삼각지역 3번출구 (용산구)<br>거치대 수: 20.0
LIG강촌아파트 103동앞,용산구,37.518509,126.978798,20.0,LIG강촌아파트 103동앞 (용산구)<br>거치대 수: 20.0
신용산역 6번출구 앞,용산구,37.530148,126.968483,15.0,신용산역 6번출구 앞 (용산구)<br>거치대 수: 15.0
삼각지역 4번출구 앞,용산구,37.533451,126.971733,9.0,삼각지역 4번출구 앞 (용산구)<br>거치대 수: 9.0
숙명여대 입구 교차로,용산구,37.544895,126.969383,15.0,숙명여대 입구 교차로 (용산구)<br>거치대 수: 15.0
선린인터넷 고등학교,용산구,37.541653,126.970505,12.0,선린인터넷 고등학교 (용산구)<br>거치대 수: 12.0
청파동입구 교차로,용산구,37.549026,126.971947,10.0,청파동입구 교차로 (용산구)<br>거치대 수: 10.0
이촌1동 마을공원,용산구,37.522041,126.965523,10.0,이촌1동 마을공원 (용산구)<br>거치대 수: 10.0
효창동주민센터 앞,용산구,37.54232,126.96196,10.0,효창동주민센터 앞 (용산구)<br>거치대 수: 10.0
서빙고동 주민센터 앞,용산구,37.520336,126.994263,15.0,서빙고동 주민센터 앞 (용산구)<br>거치대 수: 15.0
국군복지단,용산구,37.541885,126.97966,20.0,국군복지단 (용산구)<br>거치대 수: 20.0
